epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,1542.29,0.78569,0.52947,0.0077,0.94358,0.88649,0.9483,0.76364,0.86381,0.52357,0.01233,0.00276619,0.000922062,0.00276619,0.000922062,0.00276619,0.000922062,0.00276619,0.000922062
45,1571.77,0.7891,0.50938,0.00743,0.93888,0.90153,0.94969,0.76016,0.89463,0.55793,0.0129,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273
46,1599.89,0.80033,0.525,0.00777,0.91863,0.92314,0.95345,0.7565,0.89028,0.52197,0.0127,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484
47,1626.25,0.80084,0.54093,0.00776,0.90334,0.90672,0.94559,0.75283,0.89161,0.54972,0.0127,0.00266008,0.000886694,0.00266008,0.000886694,0.00266008,0.000886694,0.00266008,0.000886694
48,1656.22,0.79741,0.53907,0.00764,0.90836,0.92249,0.94938,0.75639,0.88397,0.53544,0.01286,0.00262472,0.000874905,0.00262472,0.000874905,0.00262472,0.000874905,0.00262472,0.000874905
49,1688.2,0.77316,0.52505,0.00761,0.91133,0.9159,0.95192,0.75674,0.88292,0.52767,0.01285,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
50,1718.97,0.76839,0.51818,0.00758,0.92948,0.91936,0.95154,0.7607,0.88274,0.5324,0.01258,0.00255398,0.000851327,0.00255398,0.000851327,0.00255398,0.000851327,0.00255398,0.000851327
51,1750.08,0.76097,0.493,0.00727,0.92706,0.89648,0.9511,0.75696,0.87377,0.51065,0.01265,0.00251861,0.000839537,0.00251861,0.000839537,0.00251861,0.000839537,0.00251861,0.000839537
52,1785.37,0.77241,0.5209,0.0073,0.94365,0.89288,0.95287,0.76482,0.86013,0.51047,0.01246,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748
53,1816.83,0.75272,0.49001,0.0071,0.95085,0.90324,0.95207,0.76446,0.8721,0.50875,0.01234,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959
54,1848.87,0.7659,0.50729,0.00732,0.9299,0.90198,0.95416,0.76818,0.87003,0.5531,0.01248,0.00241251,0.00080417,0.00241251,0.00080417,0.00241251,0.00080417,0.00241251,0.00080417
55,1881.83,0.7541,0.50726,0.00707,0.90289,0.94106,0.95641,0.77293,0.86347,0.52814,0.01235,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
56,1914.29,0.74495,0.48319,0.00713,0.93509,0.91646,0.95683,0.77174,0.85415,0.5143,0.01225,0.00234177,0.000780591,0.00234177,0.000780591,0.00234177,0.000780591,0.00234177,0.000780591
57,1943.72,0.73949,0.49657,0.00726,0.91004,0.91844,0.95613,0.76629,0.867,0.51577,0.01243,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802
58,1975.38,0.75242,0.48583,0.00713,0.91893,0.92221,0.95787,0.76513,0.88396,0.51913,0.01265,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013
59,2006.84,0.74552,0.47159,0.00706,0.92475,0.92168,0.95715,0.76854,0.87473,0.50937,0.01261,0.00223567,0.000745223,0.00223567,0.000745223,0.00223567,0.000745223,0.00223567,0.000745223
60,2036.71,0.73344,0.46625,0.00719,0.93369,0.91085,0.95464,0.76244,0.87686,0.53066,0.01262,0.0022003,0.000733434,0.0022003,0.000733434,0.0022003,0.000733434,0.0022003,0.000733434
